"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","type","Uncompressed-Bzip2",0,89860.0499999994,86776.1893623194,92943.9106376793,4.7907544598047e-10
"2","type","Xz-Bzip2",0,742.789999999957,-2341.07063768002,3826.65063767993,0.983193159332035
"3","type","Zlib-Bzip2",0,2639.83999999995,-444.020637680031,5723.70063767992,0.141907170385555
"4","type","Zstd_default-Bzip2",0,6336.73999999995,3252.87936231997,9420.60063767992,1.05980452302923e-07
"5","type","Zstd_dict-Bzip2",0,5607.14999999995,2523.28936231997,8691.01063767993,4.11265863342614e-06
"6","type","Xz-Uncompressed",0,-89117.2599999994,-92201.1206376794,-86033.3993623195,4.7907544598047e-10
"7","type","Zlib-Uncompressed",0,-87220.2099999994,-90304.0706376794,-84136.3493623195,4.7907544598047e-10
"8","type","Zstd_default-Uncompressed",0,-83523.3099999994,-86607.1706376794,-80439.4493623195,4.7907544598047e-10
"9","type","Zstd_dict-Uncompressed",0,-84252.8999999994,-87336.7606376794,-81169.0393623195,4.7907544598047e-10
"10","type","Zlib-Xz",0,1897.04999999999,-1186.81063767999,4980.91063767996,0.493429064052453
"11","type","Zstd_default-Xz",0,5593.94999999999,2510.08936232001,8677.81063767997,4.37865753477595e-06
"12","type","Zstd_dict-Xz",0,4864.35999999999,1780.49936232002,7948.22063767997,0.000113838138698363
"13","type","Zstd_default-Zlib",0,3696.9,613.039362320025,6780.76063767998,0.00850774203086213
"14","type","Zstd_dict-Zlib",0,2967.31,-116.550637679971,6051.17063767998,0.0670995548100523
"15","type","Zstd_dict-Zstd_default",0,-729.589999999997,-3813.45063767997,2354.27063767998,0.984494758977982
